Date,Price,Open,High,Low,Vol.,Change %
12/02/2019,148.63,150.77,151.38,146.90,446.33K,-1.43%
12/03/2019,147.16,148.64,149.77,146.00,409.80K,-0.99%
12/04/2019,145.36,147.16,151.68,143.49,661.72K,-1.22%
12/05/2019,148.09,145.39,150.54,144.01,525.94K,1.88%
12/06/2019,148.46,148.09,149.11,146.14,351.90K,0.25%
12/07/2019,147.14,148.42,149.30,146.25,312.84K,-0.88%
12/08/2019,150.42,147.14,151.55,146.37,350.31K,2.22%
12/09/2019,147.42,150.40,151.11,146.74,439.49K,-1.99%
12/10/2019,145.57,147.42,148.23,144.14,388.14K,-1.26%
12/11/2019,143.42,145.57,146.35,142.21,328.80K,-1.47%
12/12/2019,144.91,143.42,145.81,139.54,532.83K,1.04%
12/13/2019,144.75,144.91,145.23,143.10,294.73K,-0.12%
12/14/2019,141.84,144.75,145.02,141.22,309.68K,-2.01%
12/15/2019,142.46,141.82,143.90,139.94,375.94K,0.44%
12/16/2019,132.76,142.46,142.66,130.00,519.07K,-6.81%
12/17/2019,121.94,132.75,132.97,119.96,694.52K,-8.15%
12/18/2019,132.69,121.93,134.17,116.17,844.26K,8.81%
12/19/2019,128.09,132.83,133.75,125.60,534.00K,-3.46%
12/20/2019,128.15,128.12,129.33,125.98,302.54K,0.04%
12/21/2019,127.07,128.14,128.26,126.55,168.43K,-0.84%
12/22/2019,132.03,127.07,132.96,126.85,368.29K,3.91%
12/23/2019,127.91,132.12,134.83,126.20,583.05K,-3.12%
12/24/2019,127.81,127.91,129.55,126.80,348.06K,-0.08%
12/25/2019,125.14,127.81,127.81,123.55,412.99K,-2.09%
12/26/2019,125.62,125.13,132.09,124.35,462.74K,0.39%
12/27/2019,126.28,125.61,126.91,122.80,419.83K,0.52%
12/28/2019,128.12,126.25,129.64,125.85,350.99K,1.46%
12/29/2019,134.33,128.06,137.87,127.60,590.03K,4.85%
12/30/2019,131.6,134.31,136.18,130.35,542.08K,-2.03%
12/31/2019,129.17,131.60,133.55,128.28,415.51K,-1.85%
01/01/2020,130.71,129.16,132.93,128.74,332.78K,1.20%
01/02/2020,127.07,130.68,130.74,126.58,307.51K,-2.79%
01/03/2020,134.37,127.07,134.95,125.97,672.31K,5.74%
01/04/2020,134.17,134.41,135.76,132.47,368.13K,-0.14%
01/05/2020,135.42,134.19,138.15,134.19,509.94K,0.93%
01/06/2020,144.08,135.39,144.37,134.87,700.14K,6.39%
01/07/2020,142.9,144.08,145.13,138.90,626.69K,-0.82%
01/08/2020,140.7,142.90,147.67,137.20,628.03K,-1.54%
01/09/2020,137.78,140.75,141.49,135.57,479.56K,-2.08%
01/10/2020,144.84,137.78,144.93,135.50,389.48K,5.13%
01/11/2020,142.53,144.86,147.92,142.12,401.05K,-1.60%
01/12/2020,146.46,142.47,146.46,141.85,355.79K,2.75%
01/13/2020,143.51,146.46,146.88,142.39,235.34K,-2.01%
01/14/2020,166.16,143.51,170.43,143.51,887.85K,15.79%
01/15/2020,166.4,165.78,171.73,159.20,794.69K,0.14%
01/16/2020,164.25,166.37,167.37,158.78,622.60K,-1.29%
01/17/2020,169.92,164.15,174.26,162.18,619.19K,3.45%
01/18/2020,174.19,169.83,179.45,165.23,631.49K,2.51%
01/19/2020,166.97,174.19,177.94,161.79,523.26K,-4.15%
01/20/2020,166.85,166.97,169.23,161.43,347.06K,-0.07%
01/21/2020,169.45,166.89,169.99,165.12,258.22K,1.56%
01/22/2020,168.07,169.45,171.31,166.05,268.59K,-0.81%
01/23/2020,162.89,168.08,168.21,159.48,349.04K,-3.08%
01/24/2020,162.58,162.89,166.85,155.78,400.39K,-0.19%
01/25/2020,160.43,162.58,162.74,157.74,177.60K,-1.33%
01/26/2020,167.88,160.18,168.03,159.47,249.96K,4.65%
01/27/2020,170.11,167.95,172.07,165.36,386.99K,1.33%
01/28/2020,175.71,170.11,176.10,170.11,361.31K,3.29%
01/29/2020,173.79,175.64,178.41,173.51,363.43K,-1.09%
01/30/2020,184.58,173.76,186.94,171.11,488.74K,6.21%
01/31/2020,179.9,184.58,185.76,175.23,457.63K,-2.54%
02/01/2020,183.62,179.95,184.10,179.34,423.80K,2.07%
02/02/2020,188.47,183.61,193.24,179.31,626.39K,2.64%
02/03/2020,189.92,188.46,194.95,186.88,392.66K,0.77%
02/04/2020,188.89,189.68,191.61,184.79,334.34K,-0.54%
02/05/2020,203.87,188.89,207.76,188.17,539.75K,7.93%
02/06/2020,213.24,203.87,216.26,201.17,587.70K,4.60%
02/07/2020,223.39,213.24,224.65,213.24,720.44K,4.76%
02/08/2020,223.15,223.33,227.65,213.69,713.74K,-0.11%
02/09/2020,228.61,223.07,230.62,222.92,488.21K,2.45%
02/10/2020,222.9,228.60,229.29,216.74,611.32K,-2.50%
02/11/2020,236.67,222.84,238.81,218.14,607.20K,6.17%
02/12/2020,265.48,236.67,275.00,236.67,1.02M,12.17%
02/13/2020,268.41,265.75,277.65,256.44,838.04K,1.11%
02/14/2020,285.55,268.40,286.54,260.52,815.30K,6.38%
02/15/2020,264.85,285.17,288.10,261.99,682.28K,-7.25%
02/16/2020,259.55,264.97,273.84,237.67,734.45K,-2.00%
02/17/2020,267.5,259.01,268.38,242.32,890.97K,3.06%
02/18/2020,282.33,267.67,285.62,259.30,943.66K,5.54%
02/19/2020,259.7,282.63,285.36,256.13,841.28K,-8.02%
02/20/2020,257.4,259.00,264.27,245.68,1.17M,-0.88%
02/21/2020,265.08,257.04,267.95,253.84,986.51K,2.98%
02/22/2020,261.63,265.23,266.60,256.57,597.54K,-1.30%
02/23/2020,274.95,261.53,275.49,261.11,938.37K,5.09%
02/24/2020,265.51,274.66,276.99,257.88,1.12M,-3.43%
02/25/2020,247.0,265.58,266.17,245.01,1.10M,-6.97%
02/26/2020,224.03,246.56,250.20,216.22,1.47M,-9.30%
02/27/2020,227.75,223.70,238.20,210.25,1.76M,1.66%
02/28/2020,226.85,227.88,234.59,214.23,1.51M,-0.39%
02/29/2020,217.43,226.83,232.91,217.42,1.27M,-4.16%
03/01/2020,218.01,217.46,227.59,212.79,1.09M,0.27%
03/02/2020,231.95,217.17,234.32,216.15,1.24M,6.39%
03/03/2020,223.92,232.07,232.39,220.19,1.15M,-3.46%
03/04/2020,224.34,223.82,228.70,220.57,730.84K,0.19%
03/05/2020,228.45,224.29,234.00,224.29,1.12M,1.83%
03/06/2020,244.87,228.46,245.00,227.47,1.11M,7.19%
03/07/2020,237.21,244.88,251.63,236.26,1.14M,-3.13%
03/08/2020,199.34,237.23,237.23,196.94,1.58M,-15.96%
03/09/2020,202.87,199.45,208.39,190.25,1.69M,1.77%
03/10/2020,200.54,202.78,205.99,195.85,1.47M,-1.15%
03/11/2020,194.55,200.71,203.13,181.97,1.36M,-2.99%
03/12/2020,107.58,194.62,195.45,101.61,1.92M,-44.70%
03/13/2020,134.17,107.72,139.23,91.52,1.75M,24.71%
03/14/2020,122.58,134.07,134.57,121.29,1.84M,-8.63%
03/15/2020,123.75,122.51,132.87,120.52,1.24M,0.95%
03/16/2020,110.94,123.72,124.35,101.30,1.57M,-10.35%
03/17/2020,115.92,110.95,120.64,109.43,1.61M,4.49%
03/18/2020,118.1,115.74,118.30,110.06,1.61M,1.88%
03/19/2020,136.41,118.24,142.75,115.51,2.19M,15.51%
03/20/2020,133.35,136.32,151.93,117.77,2.32M,-2.24%
03/21/2020,132.74,133.40,137.36,125.95,1.60M,-0.46%
03/22/2020,122.48,132.52,136.95,121.21,1.60M,-7.73%
03/23/2020,136.03,122.32,137.08,120.08,1.55M,11.06%
03/24/2020,137.89,135.93,143.23,132.58,1.60M,1.37%
03/25/2020,136.01,137.89,141.85,132.84,1.19M,-1.36%
03/26/2020,138.35,136.15,139.44,133.50,1.40M,1.71%
