"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2016","320.23","326.99","326.99","318.49","324.48M","-2.30%"
"02/23/2016","327.78","331.06","331.86","327.51","296.17M","-1.22%"
"02/22/2016","331.82","327.33","332.42","327.33","276.89M","1.67%"
"02/19/2016","326.37","328.21","329.73","324.08","307.31M","-0.77%"
"02/18/2016","328.91","329.50","332.11","326.87","343.75M","0.04%"
"02/17/2016","328.77","320.45","328.81","320.45","361.16M","2.62%"
"02/16/2016","320.37","322.76","324.25","318.62","334.50M","-0.43%"
"02/15/2016","321.76","315.97","322.87","315.97","329.92M","2.99%"
"02/12/2016","312.41","305.55","312.41","305.55","418.92M","2.91%"
"02/11/2016","303.58","313.65","313.65","302.59","445.09M","-3.68%"
"02/10/2016","315.19","310.28","318.39","309.05","410.56M","1.87%"
"02/09/2016","309.39","314.68","316.55","306.12","463.71M","-1.58%"
"02/08/2016","314.36","326.78","327.76","313.24","376.06M","-3.54%"
"02/05/2016","325.90","328.30","331.15","325.36","397.78M","-0.87%"
"02/04/2016","328.76","330.64","332.95","324.66","383.69M","-0.20%"
"02/03/2016","329.43","334.64","335.10","326.01","378.90M","-1.54%"
"02/02/2016","334.59","341.13","341.13","332.89","338.87M","-2.05%"
"02/01/2016","341.61","343.51","344.08","338.14","305.59M","-0.19%"
"01/29/2016","342.27","337.10","342.27","336.46","352.96M","2.20%"
"01/28/2016","334.89","339.72","341.31","332.78","349.77M","-1.57%"
"01/27/2016","340.24","338.69","340.24","335.86","284.30M","0.31%"
"01/26/2016","339.20","333.51","339.83","329.49","323.26M","0.87%"
"01/25/2016","336.27","338.99","339.60","334.85","288.04M","-0.62%"
"01/22/2016","338.36","330.73","340.53","330.73","375.94M","3.00%"
"01/21/2016","328.51","322.51","330.22","321.69","425.93M","1.93%"
"01/20/2016","322.29","328.79","328.79","320.46","421.93M","-3.20%"
"01/19/2016","332.93","331.15","336.46","331.15","322.87M","1.31%"
"01/18/2016","328.64","330.05","333.85","327.11","293.76M","-0.36%"
"01/15/2016","329.84","338.88","339.80","327.92","390.48M","-2.82%"
"01/14/2016","339.42","342.94","342.94","333.26","359.58M","-1.51%"
"01/13/2016","344.63","345.30","349.58","343.22","288.56M","0.41%"
"01/12/2016","343.22","339.66","346.67","339.05","278.53M","0.88%"
"01/11/2016","340.23","340.58","344.51","340.19","278.09M","-0.33%"
"01/08/2016","341.35","346.59","349.52","341.35","277.14M","-1.49%"
"01/07/2016","346.51","351.47","351.47","341.46","347.85M","-2.21%"
"01/06/2016","354.35","358.44","358.44","352.05","239.27M","-1.26%"
"01/05/2016","358.88","358.03","360.50","354.94","212.74M","0.62%"
"01/04/2016","356.66","365.48","365.48","354.83","250.65M","-2.50%"
"12/31/2015","365.81","367.55","367.55","365.61","81.13M","-0.51%"
"12/30/2015","367.70","369.17","369.44","367.38","133.70M","-0.54%"
"12/29/2015","369.68","365.27","369.68","365.27","151.42M","1.42%"
"12/28/2015","364.49","366.11","366.48","363.79","82.86M","-0.49%"
